step,price,openInterest,tvl,insuranceBalance,badDebt,protocolRevenue,makerFeesCollected,takerFeesCollected,fundingFeesTransferred,insuranceFundInflow,insuranceFundOutflow,liquidations,liquidatorOrders,liquidatorRewardsPaid,liquidationPenaltyCollected,marginReturnedFromLiquidation,positionsAtRisk,trades,uniqueTraders,openOrders,newOrders,filledOrders,cancelledOrders,liquidationsPer100Orders,avgLeverage,longShortRatio,spreadBps,slippageBps,priceImpactBps,isInsolvent
0,2003.84,0.0,90000.0,24793.2265,0.0,31.5805,4.5115,9.023,0.0,24793.2265,0.0,6,6,9.023,18.046,0.0,0,3,0,0,8,6,2,75.000,11.83,0.000,19.19,11.00,7.00,0
1,2002.29,0.0,90000.0,44329.3205,0.0,85.4655,14.5925,29.185,0.0,44329.3205,0.0,6,6,25.884,41.688,0.0,0,3,0,0,8,6,2,75.000,10.44,0.000,7.73,4.00,3.00,0
2,2002.16,0.0,90000.0,53614.484,0.0,187.585,29.181,58.362,0.0,53614.484,0.0,2,2,55.061,100.042,0.0,0,1,0,0,8,2,6,25.000,9.92,0.000,0.63,0.00,0.00,0
3,2004.71,0.0,90000.0,53986.4565,0.0,192.9575,29.9485,59.897,0.0,53986.4565,0.0,4,4,56.596,103.112,0.0,0,2,0,0,8,4,4,50.000,11.24,0.000,12.72,7.00,5.00,0
4,2004.78,0.0,90000.0,63846.292,0.0,212.981,32.809,65.618,0.0,63846.292,0.0,2,2,62.317,114.554,0.0,0,1,0,0,8,2,6,25.000,10.98,0.000,0.38,0.00,0.00,0
5,2003.56,0.0,90000.0,73628.163,0.0,287.118,43.4,86.8,0.0,73628.163,0.0,4,4,83.499,156.918,0.0,0,2,0,0,8,4,4,50.000,11.02,0.000,6.10,3.00,2.00,0
6,2000.15,0.0,90000.0,78761.922,0.0,297.961,44.949,89.898,0.0,78761.922,0.0,2,2,86.597,163.114,0.0,0,1,0,0,8,2,6,25.000,10.77,0.000,17.05,10.00,6.00,0
7,2002.28,0.0,90000.0,78999.4165,0.0,302.1575,45.5485,91.097,0.0,78999.4165,0.0,2,2,87.796,165.512,0.0,0,1,0,0,8,2,6,25.000,10.34,0.000,10.66,6.00,4.00,0
8,2006.26,0.0,90000.0,78999.4165,0.0,302.1575,45.5485,91.097,0.0,78999.4165,0.0,0,0,87.796,165.512,0.0,0,0,0,0,8,0,8,0.000,10.34,0.000,19.87,11.00,7.00,0
9,2008.86,0.0,90000.0,78999.4165,0.0,302.1575,45.5485,91.097,0.0,78999.4165,0.0,0,0,87.796,165.512,0.0,0,0,0,0,8,0,8,0.000,10.34,0.000,13.00,7.00,5.00,0
10,2008.54,0.0,90000.0,78999.4165,0.0,302.1575,45.5485,91.097,0.0,78999.4165,0.0,0,0,87.796,165.512,0.0,0,0,0,0,8,0,8,0.000,10.34,0.000,1.60,0.00,0.00,0
11,2012.12,0.0,90000.0,78999.4165,0.0,302.1575,45.5485,91.097,0.0,78999.4165,0.0,0,0,87.796,165.512,0.0,0,0,0,0,8,0,8,0.000,10.34,0.000,17.83,10.00,7.00,0
12,2015.27,0.0,90000.0,78999.4165,0.0,302.1575,45.5485,91.097,0.0,78999.4165,0.0,0,0,87.796,165.512,0.0,0,0,0,0,8,0,8,0.000,10.34,0.000,15.62,9.00,6.00,0
13,2019.05,0.0,90000.0,78999.4165,0.0,302.1575,45.5485,91.097,0.0,78999.4165,0.0,0,0,87.796,165.512,0.0,0,0,0,0,8,0,8,0.000,10.34,0.000,18.77,11.00,7.00,0
14,2020.08,0.0,90000.0,78999.4165,0.0,302.1575,45.5485,91.097,0.0,78999.4165,0.0,0,0,87.796,165.512,0.0,0,0,0,0,8,0,8,0.000,10.34,0.000,5.11,3.00,2.00,0
15,2018.05,0.0,90000.0,79048.627,0.0,305.976,46.094,92.188,0.0,79048.627,0.0,2,2,88.887,167.694,0.0,0,1,0,0,8,2,6,25.000,9.83,0.000,10.05,6.00,4.00,0
