step,price,openInterest,tvl,insuranceBalance,badDebt,protocolRevenue,liquidations,positionsAtRisk,trades,uniqueTraders,openOrders,newOrders,filledOrders,cancelledOrders,liquidationsPer100Orders,avgLeverage,longShortRatio,spreadBps,slippageBps,priceImpactBps,isInsolvent
0,2003.84,2991000.05754,400004.614596,999999.988573,0.0,0.001886,1,21,27,20,13,48,34,1,2.083,6.83,1.143,7.20,5.09,4.01,0
1,2002.29,2982027.109595,400004.547498,999999.931133,0.0,0.003795,3,31,25,14,22,44,32,1,6.818,9.75,1.143,7.34,5.94,3.26,0
2,2002.16,2973081.055642,400004.426038,999999.844856,0.0,0.005645,4,31,25,20,27,31,22,1,12.903,11.76,1.143,6.17,3.97,3.70,0
3,2004.71,2964161.885185,400004.475174,999999.724835,0.0,0.007548,5,38,26,18,31,27,19,1,18.519,13.08,1.143,6.87,5.00,3.09,0
4,2004.78,2955269.454001,400004.32454,999999.67756,0.0,0.009401,5,43,25,17,37,39,28,1,12.821,14.17,1.143,7.55,5.61,4.12,0
5,2003.56,2946403.706653,400004.279623,999999.582801,0.0,0.011256,4,41,25,21,40,26,19,0,15.385,15.10,1.143,7.00,4.79,4.28,0
6,2000.15,2937564.567929,400004.232267,999999.278775,0.0,0.013166,7,42,26,19,44,30,21,1,23.333,15.87,1.143,6.07,6.08,4.09,0
7,2002.28,2928751.96467,400004.102917,999999.108547,0.0,0.015094,7,46,26,14,49,38,27,1,18.421,16.35,1.143,8.12,5.82,3.10,0
8,2006.26,2919965.745719,400004.075566,999998.868029,0.0,0.016937,8,46,27,21,53,34,24,1,23.529,16.68,1.143,7.40,4.99,2.86,0
9,2008.86,2911205.915535,400003.883473,999998.690038,0.0,0.018817,7,44,26,16,54,26,18,1,26.923,16.67,1.143,7.37,6.16,2.87,0
10,2008.54,2902472.354784,400004.009292,999998.529377,0.0,0.020637,8,50,25,20,57,36,26,1,22.222,16.87,1.143,7.93,5.85,4.15,0
11,2012.12,2893764.973602,400003.830169,999998.463147,0.0,0.022435,7,46,26,14,62,43,31,1,16.279,17.04,1.143,6.41,6.05,4.15,0
12,2015.27,2885083.74532,400003.872621,999998.198491,0.0,0.024336,7,50,26,17,65,38,27,1,18.421,17.05,1.143,6.60,5.95,4.24,0
13,2019.05,2876428.566386,400003.767755,999998.045158,0.0,0.026212,8,51,27,14,65,29,21,1,27.586,17.19,1.143,6.61,5.14,4.05,0
14,2020.08,2867799.337932,400003.611531,999997.833444,0.0,0.028011,8,48,25,15,68,38,27,1,21.053,17.31,1.143,6.46,4.93,4.27,0
15,2018.05,2859195.970534,400003.531014,999997.576479,0.0,0.029832,8,48,26,15,68,27,19,1,29.630,17.26,1.143,7.65,4.59,3.37,0
16,2017.84,2850618.406257,400003.55287,999997.387335,0.0,0.031596,7,52,25,21,68,26,19,0,26.923,17.23,1.143,7.15,6.29,3.06,0
17,2016.26,2842066.593651,400003.406734,999997.287339,0.0,0.033392,7,50,25,15,68,29,21,1,24.138,16.90,1.143,7.80,6.89,4.22,0
18,2018.46,2833540.440403,400003.37884,999997.128571,0.0,0.035169,7,50,26,20,70,34,24,1,20.588,16.71,1.143,7.48,6.00,4.60,0
19,2021.41,2825039.868556,400003.336252,999996.997896,0.0,0.037016,6,47,26,15,73,40,29,1,15.000,16.63,1.143,6.29,7.29,4.23,0
20,2022.59,2816564.824575,400003.05744,999996.642774,0.0,0.038869,7,49,25,16,72,26,19,0,26.923,16.69,1.143,8.07,7.20,4.70,0
21,2024.86,2808115.176302,400002.982061,999996.318841,0.0,0.040711,7,44,26,16,71,28,20,1,25.000,16.94,1.143,7.10,6.11,3.20,0
22,2027.19,2799690.860676,400003.021589,999996.074102,0.0,0.042477,7,48,26,20,75,45,32,1,15.556,17.15,1.143,6.89,6.12,4.04,0
23,2028.43,2791291.810922,400002.817884,999996.001346,0.0,0.044202,8,52,25,18,78,43,31,1,18.605,17.18,1.143,7.64,6.95,4.32,0
24,2028.05,2782917.959357,400002.763504,999995.898692,0.0,0.045939,7,48,25,18,81,43,31,1,16.279,17.21,1.143,7.10,5.09,4.23,0
25,2024.59,2774569.228301,400002.770168,999995.788536,0.0,0.047662,9,49,26,18,81,35,25,1,25.714,17.30,1.143,7.43,5.65,4.58,0
26,2023.18,2766245.570685,400002.728922,999995.43943,0.0,0.049461,9,51,25,16,83,44,32,1,20.455,17.30,1.143,6.71,6.87,3.10,0
27,2020.80,2757946.91335,400002.530502,999995.288339,0.0,0.051273,7,49,26,17,81,27,19,1,25.926,17.34,1.143,6.96,5.99,4.03,0
28,2022.83,2749673.115287,400002.494564,999995.147178,0.0,0.052989,6,45,26,16,83,41,29,1,14.634,16.99,1.143,6.25,5.33,3.99,0
29,2019.61,2741424.171632,400002.330607,999994.867675,0.0,0.054817,8,46,26,16,84,40,29,1,20.000,16.89,1.143,7.67,6.72,3.62,0
30,2017.82,2733199.945889,400002.43161,999994.649646,0.0,0.056568,7,48,26,18,82,28,20,1,25.000,16.85,1.143,7.83,5.88,2.96,0
31,2014.32,2725000.385303,400002.194277,999994.461664,0.0,0.058297,7,50,26,20,85,46,33,1,15.217,16.86,1.143,6.44,6.81,3.58,0
32,2015.36,2716825.447438,400002.080764,999994.090827,0.0,0.060098,8,50,25,18,83,25,18,0,32.000,16.80,1.143,6.78,6.11,3.37,0
33,2018.80,2708675.015069,400001.911889,999993.83407,0.0,0.061855,7,44,26,18,85,42,30,1,16.667,16.94,1.143,7.60,6.04,4.47,0
34,2017.57,2700549.038945,400001.867307,999993.585457,0.0,0.063568,8,51,25,19,85,35,25,1,22.857,16.85,1.143,7.27,7.39,4.68,0
35,2015.25,2692447.479256,400001.872305,999993.450781,0.0,0.065363,8,52,26,16,84,32,23,1,25.000,16.95,1.143,6.31,6.75,2.96,0
36,2011.23,2684370.191599,400001.742394,999993.19863,0.0,0.067103,7,45,27,20,84,36,26,1,19.444,17.12,1.143,6.54,5.28,4.42,0
37,2012.69,2676317.111333,400001.735676,999993.083903,0.0,0.068764,9,52,25,20,86,41,29,1,21.951,17.28,1.143,7.35,6.37,4.12,0
38,2015.18,2668288.229221,400001.669709,999992.895705,0.0,0.070537,8,46,26,16,88,43,31,1,18.605,17.08,1.143,7.19,7.00,3.43,0
39,2011.54,2660283.421169,400001.512806,999992.689535,0.0,0.072254,8,47,27,15,90,41,29,1,19.512,17.14,1.143,8.03,4.80,3.34,0
40,2012.32,2652302.607071,400001.575777,999992.589201,0.0,0.07394,7,45,25,16,88,25,18,0,28.000,16.91,1.143,7.45,6.96,3.45,0
