step,price,openInterest,tvl,insuranceBalance,badDebt,protocolRevenue,liquidations,positionsAtRisk,trades,uniqueTraders,openOrders,newOrders,filledOrders,cancelledOrders,liquidationsPer100Orders,avgLeverage,longShortRatio,spreadBps,slippageBps,priceImpactBps,isInsolvent
0,2003.84,2991000.037294,400004.61962,1000000.000638,0.0,0.001824,0,19,21,16,10,37,26,1,0.000,6.08,1.143,7.15,5.03,3.96,0
1,2002.29,2982027.072,400004.559091,999999.959192,0.0,0.003664,3,28,20,11,18,35,25,1,8.571,8.47,1.143,7.27,5.85,3.18,0
2,2002.16,2973081.009034,400004.453874,999999.913079,0.0,0.005464,3,26,20,16,23,25,18,0,12.000,10.12,1.143,6.05,3.81,3.57,0
3,2004.71,2964161.814946,400004.524347,999999.844949,0.0,0.007298,4,33,21,14,26,21,15,0,19.048,11.18,1.143,6.75,4.85,2.95,0
4,2004.78,2955269.365814,400004.384984,999999.825133,0.0,0.009096,3,38,20,13,31,31,22,1,9.677,12.09,1.143,7.43,5.46,3.99,0
5,2003.56,2946403.598392,400004.358226,999999.77484,0.0,0.010894,3,36,20,16,33,21,15,0,14.286,12.90,1.143,6.88,4.64,4.14,0
6,2000.15,2937564.436325,400004.371965,999999.620339,0.0,0.012728,5,37,21,15,36,24,17,0,20.833,13.57,1.143,5.95,5.92,3.96,0
7,2002.28,2928751.803892,400004.277281,999999.533912,0.0,0.014573,5,40,21,11,40,31,22,1,16.129,14.00,1.143,7.97,5.64,2.93,0
8,2006.26,2919965.572425,400004.293913,999999.405493,0.0,0.016354,6,40,21,17,43,26,18,1,23.077,14.28,1.143,7.25,4.81,2.70,0
9,2008.86,2911205.720839,400004.138628,999999.315283,0.0,0.018163,5,38,21,13,44,21,15,0,23.810,14.24,1.143,7.22,5.98,2.70,0
10,2008.54,2902472.141673,400004.293924,999999.229729,0.0,0.019929,6,44,20,16,46,29,21,1,20.690,14.42,1.143,7.79,5.66,3.99,0
11,2012.12,2893764.749399,400004.127791,999999.196302,0.0,0.02168,5,40,21,11,50,35,25,1,14.286,14.57,1.143,6.27,5.87,3.99,0
12,2015.27,2885083.500004,400004.226424,999999.061942,0.0,0.023499,5,43,21,13,53,31,22,1,16.129,14.57,1.143,6.44,5.74,4.05,0
13,2019.05,2876428.296366,400004.150004,999998.980224,0.0,0.025293,6,45,21,11,54,23,16,0,26.087,14.71,1.143,6.47,4.96,3.89,0
14,2020.08,2867799.04964,400004.03176,999998.867201,0.0,0.027039,6,41,20,12,56,30,21,1,20.000,14.82,1.143,6.29,4.71,4.08,0
15,2018.05,2859195.672116,400004.000655,999998.730062,0.0,0.028793,6,41,20,12,56,21,15,0,28.571,14.76,1.143,7.48,4.37,3.18,0
16,2017.84,2850618.100856,400004.058155,999998.63406,0.0,0.030512,5,45,20,16,56,20,14,0,25.000,14.74,1.143,6.99,6.08,2.87,0
17,2016.26,2842066.274962,400003.93848,999998.593828,0.0,0.03225,4,43,20,12,57,23,16,0,17.391,14.41,1.143,7.63,6.68,4.03,0
18,2018.46,2833540.107458,400003.941521,999998.513739,0.0,0.033975,5,44,21,16,58,27,19,1,18.519,14.21,1.143,7.34,5.82,4.44,0
19,2021.41,2825039.520435,400003.931448,999998.45236,0.0,0.035746,4,41,21,12,60,32,23,1,12.500,14.13,1.143,6.15,7.11,4.07,0
20,2022.59,2816564.452289,400003.724946,999998.272918,0.0,0.037518,5,43,20,13,60,21,15,0,23.810,14.19,1.143,7.93,7.02,4.54,0
21,2024.86,2808114.790029,400003.713311,999998.108832,0.0,0.039282,5,38,21,13,61,23,16,0,21.739,14.44,1.143,6.96,5.93,3.04,0
22,2027.19,2799690.465786,400003.797006,999997.984673,0.0,0.040993,5,41,21,16,63,36,26,1,13.889,14.65,1.143,6.72,5.91,3.86,0
23,2028.43,2791291.409608,400003.605415,999997.946083,0.0,0.042675,6,46,20,14,65,34,24,1,17.647,14.68,1.143,7.50,6.77,4.16,0
