step,price,openInterest,tvl,insuranceBalance,badDebt,protocolRevenue,makerFeesCollected,takerFeesCollected,fundingFeesTransferred,insuranceFundInflow,insuranceFundOutflow,liquidations,liquidatorOrders,liquidatorRewardsPaid,liquidationPenaltyCollected,marginReturnedFromLiquidation,positionsAtRisk,trades,uniqueTraders,openOrders,newOrders,filledOrders,cancelledOrders,liquidationsPer100Orders,avgLeverage,longShortRatio,spreadBps,slippageBps,priceImpactBps,isInsolvent
0,2003.84,2991000.037294,400189.028244,1000461.022198,0.0,184.408879,69.153329,115.255549,1709.142854,461.022198,0.0,0,2,0.0,0.0,0.0,19,21,16,10,37,26,1,0.000,6.08,1.143,7.15,5.03,3.96,0
1,2002.29,2982027.072,400393.088033,1000971.281546,0.0,403.166453,151.187419,251.979033,3413.158259,1080.532319,109.250773,3,6,38.728631,72.616184,4729.734118,28,20,11,18,35,25,1,8.571,8.47,1.143,7.27,5.85,3.18,0
2,2002.16,2973081.009034,400244.578651,1000600.225021,0.0,565.197245,211.948966,353.248278,5112.061627,1530.631421,930.4064,3,6,62.740428,117.638303,7662.174855,26,20,16,23,25,18,0,12.000,10.12,1.143,6.05,3.81,3.57,0
3,2004.71,2964161.814946,400277.963384,1000683.442543,0.0,790.601706,296.475639,494.126066,6805.868304,2166.147039,1482.704496,4,7,101.142809,189.642768,12352.06569,33,21,14,26,21,15,0,19.048,11.18,1.143,6.75,4.85,2.95,0
4,2004.78,2955269.365814,400469.609889,1001162.887396,0.0,966.055349,362.270755,603.784593,8494.593528,2645.591892,1482.704496,3,7,122.908539,230.453512,15010.205511,38,20,13,31,31,22,1,9.677,12.09,1.143,7.43,5.46,3.99,0
5,2003.56,2946403.598392,400461.898931,1001143.626602,0.0,1149.437107,431.038914,718.398191,10178.252617,3144.031995,2000.405393,3,7,144.234249,270.439219,17614.607944,36,20,16,33,21,15,0,14.286,12.90,1.143,6.88,4.64,4.14,0
6,2000.15,2937564.436325,399617.815188,999033.228396,0.0,1398.81477,524.555537,874.25923,11856.860705,3849.501782,4816.273386,5,9,187.981251,352.464848,22957.210594,37,21,15,36,24,17,0,20.833,13.57,1.143,5.95,5.92,3.96,0
7,2002.28,2928751.803892,399927.441299,999807.443958,0.0,1673.462051,627.548267,1045.913781,13530.433008,4623.717344,4816.273386,5,9,234.699841,440.062205,28662.718507,40,21,11,40,31,22,1,16.129,14.00,1.143,7.97,5.64,2.93,0
8,2006.26,2919965.572425,399318.090462,998283.896865,0.0,1854.466874,695.425075,1159.041795,15198.984588,5144.147419,6860.250554,6,10,270.922784,507.980223,33086.445427,40,21,17,43,26,18,1,23.077,14.28,1.143,7.25,4.81,2.70,0
9,2008.86,2911205.720839,399435.564019,998577.87876,0.0,2088.522394,783.195895,1305.326495,16862.530558,5802.652534,7224.773774,5,9,310.051484,581.346536,37865.037978,38,21,13,44,21,15,0,23.810,14.24,1.143,7.22,5.98,2.70,0
10,2008.54,2902472.141673,399478.355263,998684.383077,0.0,2260.850254,847.818842,1413.031408,18521.085897,6300.674646,7616.291569,6,11,345.892796,648.548996,42242.158217,44,20,16,46,29,21,1,20.690,14.42,1.143,7.79,5.66,3.99,0
