step,positionId,trader,positionSize,penaltyCollected,rewardPaid,marginReturned,marginLost,insuranceInflow,insuranceOutflow,badDebt
1,2,0xa0Ee7A142d267C1f36714E4a8F75612F20a79720,4142.0,62.13,33.136,4895.471272,95.266,62.13,0.0,0.0
1,0,0xdF3e18d64BC6A983f673Ab319CCaE4f1a57C7097,1190.0,17.85,9.52,4968.335141,27.37,17.85,0.0,0.0
1,4,0xdF3e18d64BC6A983f673Ab319CCaE4f1a57C7097,2185.0,32.775,17.48,4916.391156,50.255,32.775,0.0,0.0
2,8,0x976EA74026E726554dB657fA54763abd0C3a0aa9,3838.0,57.57,30.704,4893.744522,88.274,57.57,0.0,0.0
2,6,0xFABB0ac9d68B0B445fB7357272Ff202C5651694a,4612.0,69.18,36.896,4889.020622,106.076,69.18,0.0,0.0
3,13,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,13901.0,208.515,111.208,4655.648075,319.723,208.515,0.0,0.0
3,1,0x90F79bf6EB2c4f870365E785982E1f101E93b906,1190.0,17.85,9.52,4971.517881,27.37,17.85,0.0,0.0
3,11,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,2428.0,36.42,19.424,4939.854221,55.844,36.42,0.0,0.0
3,5,0x23618e81E3f5cdF7f54C3d65f7FBc0aBf5B21E8f,2185.0,32.775,17.48,4945.275,50.255,32.775,0.0,0.0
3,9,0xa0Ee7A142d267C1f36714E4a8F75612F20a79720,3838.0,57.57,30.704,4802.55913,88.274,57.57,0.0,0.0
3,15,0xBcd4042DE499D14e55001CcbB24a551F3b954096,22798.0,341.97,182.384,4435.253926,524.354,341.97,0.0,0.0
3,7,0x1CBd3b2770909D4e10f157cABC84C7264073C9Ec,4612.0,69.18,36.896,4886.044495,106.076,69.18,0.0,0.0
3,3,0xbDA5747bFD65F08deb54cb465eB87D40e51B197E,4142.0,62.13,33.136,4898.516078,95.266,62.13,0.0,0.0
4,19,0xdF3e18d64BC6A983f673Ab319CCaE4f1a57C7097,2347.0,35.205,18.776,4861.148143,53.981,35.205,0.0,0.0
4,17,0xcd3B766CCDd6AE721141F452C550Ca635964ce71,2547.0,38.205,20.376,4940.049444,58.581,38.205,0.0,0.0
5,20,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,524.0,7.86,4.192,4635.396377,12.052,7.86,0.0,0.0
5,24,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,19823.0,297.345,158.584,4452.00796,455.929,297.345,0.0,0.0
5,22,0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc,14712.0,220.68,117.696,4615.138025,338.376,220.68,0.0,0.0
5,16,0x2546BcD3c84621e976D8185a91A922aE77ECEc30,2547.0,38.205,20.376,4935.321041,58.581,38.205,0.0,0.0
5,18,0xbDA5747bFD65F08deb54cb465eB87D40e51B197E,2347.0,35.205,18.776,4843.191604,53.981,35.205,0.0,0.0
6,14,0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc,22798.0,341.97,182.384,4067.813369,524.354,341.97,0.0,0.0
6,12,0x976EA74026E726554dB657fA54763abd0C3a0aa9,13901.0,208.515,111.208,4560.015246,319.723,208.515,0.0,0.0
6,10,0x23618e81E3f5cdF7f54C3d65f7FBc0aBf5B21E8f,2428.0,36.42,19.424,4886.722612,55.844,36.42,0.0,0.0
6,26,0x2546BcD3c84621e976D8185a91A922aE77ECEc30,2093.0,31.395,16.744,4883.61354,48.139,31.395,0.0,0.0
7,31,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,1362.0,20.43,10.896,4601.93805,31.326,20.43,0.0,0.0
7,29,0xdF3e18d64BC6A983f673Ab319CCaE4f1a57C7097,1418.0,21.27,11.344,4824.657143,32.614,21.27,0.0,0.0
8,23,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,14712.0,220.68,117.696,4252.764948,338.376,220.68,0.0,0.0
8,35,0x90F79bf6EB2c4f870365E785982E1f101E93b906,831.0,12.465,6.648,4950.33793,19.113,12.465,0.0,0.0
8,21,0x23618e81E3f5cdF7f54C3d65f7FBc0aBf5B21E8f,524.0,7.86,4.192,4874.28605,12.052,7.86,0.0,0.0
8,25,0x71bE63f3384f5fb98995898A86B02Fb2426c5788,19823.0,297.345,158.584,4519.611447,455.929,297.345,0.0,0.0
8,27,0xdF3e18d64BC6A983f673Ab319CCaE4f1a57C7097,2093.0,31.395,16.744,4771.416413,48.139,31.395,0.0,0.0
8,33,0xdF3e18d64BC6A983f673Ab319CCaE4f1a57C7097,1221.0,18.315,9.768,4740.906913,28.083,18.315,0.0,0.0
9,37,0xBcd4042DE499D14e55001CcbB24a551F3b954096,2287.0,34.305,18.296,4378.536121,52.601,34.305,0.0,0.0
9,39,0xcd3B766CCDd6AE721141F452C550Ca635964ce71,1467.0,22.005,11.736,4901.150713,33.741,22.005,0.0,0.0
10,42,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,21052.0,315.78,168.416,3738.296644,484.196,315.78,0.0,0.0
10,44,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,4209.0,63.135,33.672,3640.815108,96.807,63.135,0.0,0.0
10,40,0xcd3B766CCDd6AE721141F452C550Ca635964ce71,2517.0,37.755,20.136,4842.856338,57.891,37.755,0.0,0.0
11,47,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,3275.0,49.125,26.2,3559.64955,75.325,49.125,0.0,0.0
11,43,0x90F79bf6EB2c4f870365E785982E1f101E93b906,21052.0,315.78,168.416,4421.452104,484.196,315.78,0.0,0.0
