step,price,openInterest,tvl,insuranceBalance,badDebt,protocolRevenue,makerFeesCollected,takerFeesCollected,fundingFeesTransferred,insuranceFundInflow,insuranceFundOutflow,liquidationInsuranceInflow,liquidations,liquidatorOrders,liquidatorRewardsPaid,liquidationPenaltyCollected,marginReturnedFromLiquidation,positionsAtRisk,trades,uniqueTraders,openOrders,newOrders,filledOrders,cancelledOrders,liquidationsPer100Orders,avgLeverage,longShortRatio,spreadBps,slippageBps,priceImpactBps,isInsolvent
0,2003.84,15034.0,85000.0,0.0,0.0,11.2755,3.7585,7.517,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,3,5,0,6,6,0,0.000,11.83,1.000,19.19,11.00,7.00,0
1,2002.29,24417.0,84827.109,112.755,0.0,23.9505,7.9835,15.967,0.0,112.755,0.0,112.755,3,3,60.136,112.755,14780.197569,0,2,7,0,6,4,2,50.000,10.71,0.529,7.73,4.00,3.00,0
2,2002.16,94221.0,84632.759,239.505,0.0,82.641,27.547,55.094,0.0,239.505,0.0,239.505,2,2,127.736,239.505,24562.962713,0,3,10,0,6,6,0,33.333,9.73,0.710,0.63,0.00,0.00,0
3,2004.71,48915.0,83365.597,1065.915,0.0,89.982,29.994,59.988,0.0,1065.915,0.0,1065.915,8,8,568.488,1065.915,63097.631519,0,2,7,0,6,4,2,133.333,8.54,8.995,12.72,7.00,5.00,0
4,2004.78,114139.0,83253.035,1139.325,0.0,142.5705,47.5235,95.047,0.0,1139.325,0.0,1139.325,2,2,607.64,1139.325,72898.829106,0,3,8,0,6,6,0,33.333,8.20,2.256,0.38,0.00,0.00,0
5,2003.56,78372.0,82334.116,1738.62,0.0,145.71,48.57,97.14,0.0,1738.62,0.0,1738.62,5,5,927.264,1738.62,96379.884113,0,1,7,0,6,2,4,83.333,7.95,1.109,6.10,3.00,2.00,0
6,2000.15,42712.0,81386.056,2356.92,0.0,149.88,49.96,99.92,0.0,2356.92,0.0,2356.92,4,4,1257.024,2356.92,114778.04888,0,2,6,0,6,4,2,66.667,8.22,0.070,17.05,10.00,6.00,0
7,2002.28,44036.0,81322.116,2398.62,0.0,152.958,50.986,101.972,0.0,2398.62,0.0,2398.62,2,2,1279.264,2398.62,124204.644073,0,2,8,0,6,4,2,33.333,8.42,0.123,10.66,6.00,4.00,0
8,2006.26,12340.0,80420.424,2986.68,0.0,158.589,52.863,105.726,0.0,2986.68,0.0,2986.68,6,6,1592.896,2986.68,152313.967774,0,2,7,0,6,4,2,100.000,8.02,2.287,19.87,11.00,7.00,0
9,2008.86,64142.0,80334.082,3042.99,0.0,200.256,66.752,133.504,0.0,3042.99,0.0,3042.99,2,2,1622.928,3042.99,161593.654608,0,3,9,0,6,6,0,33.333,7.83,1.309,13.00,7.00,5.00,0
10,2008.54,47436.0,79695.188,3459.66,0.0,208.56,69.52,139.04,0.0,3459.66,0.0,3459.66,3,3,1845.152,3459.66,173815.622698,0,2,8,0,6,4,2,50.000,7.94,0.424,1.60,0.00,0.00,0
11,2012.12,53962.0,78928.966,3959.37,0.0,238.44,79.48,158.96,0.000021,3959.37,0.0,3959.37,5,5,2111.664,3959.37,195513.807845,0,3,9,0,6,6,0,83.333,8.26,1.709,17.83,10.00,7.00,0
12,2015.27,51750.0,78470.806,4258.17,0.0,251.721,83.907,167.814,0.000021,4258.17,0.0,4258.17,3,3,2271.024,4258.17,208836.163876,0,3,9,0,6,6,0,50.000,8.33,4.845,15.62,9.00,6.00,0
13,2019.05,49574.0,78267.164,4390.98,0.0,256.7295,85.5765,171.153,0.000021,4390.98,0.0,4390.98,3,3,2341.856,4390.98,222975.859818,0,2,10,0,6,4,2,50.000,8.44,13.847,18.77,11.00,7.00,0
14,2020.08,55689.0,78190.367,4441.065,0.0,263.82,87.94,175.88,0.000021,4441.065,0.0,4441.065,2,2,2368.568,4441.065,231766.891349,0,2,11,0,6,4,2,33.333,8.28,10.781,5.11,3.00,2.00,0
15,2018.05,58339.0,78004.849,4562.055,0.0,271.857,90.619,181.238,0.000021,4562.055,0.0,4562.055,4,4,2433.096,4562.055,250863.886187,0,3,12,0,6,6,0,66.667,8.76,4.785,10.05,6.00,4.00,0
16,2017.84,66821.0,77881.615,4642.425,0.0,282.237,94.079,188.158,0.000021,4642.425,0.0,4642.425,3,3,2475.96,4642.425,264073.543517,0,3,12,0,6,6,0,50.000,9.10,2.929,1.07,0.00,0.00,0
17,2016.26,88121.0,77722.455,4746.225,0.0,303.402,101.134,202.268,0.000021,4746.225,0.0,4746.225,3,3,2531.32,4746.225,278145.313964,0,2,13,0,6,4,2,50.000,8.84,1.832,7.80,4.00,3.00,0
18,2018.46,138571.0,77115.531,5142.045,0.0,361.0305,120.3435,240.687,0.000021,5142.045,0.0,5142.045,8,8,2742.424,5142.045,315473.489882,0,3,9,0,6,6,0,133.333,8.50,2.212,10.90,6.00,4.00,0
19,2021.41,105317.0,76123.173,5789.235,0.0,368.4495,122.8165,245.633,0.000021,5789.235,0.0,5789.235,5,5,3087.592,5789.235,336551.58243,0,1,10,0,6,2,4,83.333,8.39,20.293,14.61,8.00,5.00,0
20,2022.59,150625.0,76009.415,5863.425,0.0,406.14,135.38,270.76,0.000021,5863.425,0.0,5863.425,1,1,3127.16,5863.425,341159.273416,0,2,11,0,6,4,2,16.667,8.53,4.995,5.86,3.00,2.00,0
21,2024.86,135220.0,75431.494,6240.33,0.0,413.4315,137.8105,275.621,0.000021,6240.33,0.0,6240.33,2,2,3328.176,6240.33,348546.898858,0,2,10,0,6,4,2,33.333,8.74,26.817,11.21,6.00,4.00,0
22,2027.19,177489.0,75319.691,6313.245,0.0,448.779,149.593,299.186,0.000021,6313.245,0.0,6313.245,2,2,3367.064,6313.245,357697.060125,0,2,13,0,6,4,2,33.333,8.72,6.532,11.49,6.00,4.00,0
23,2028.43,153924.0,74777.696,6666.72,0.0,448.779,149.593,299.186,0.000071,6666.72,0.0,6666.72,2,2,3555.584,6666.72,365739.345359,0,0,12,0,6,0,6,33.333,8.72,0.000,6.12,3.00,2.00,0
24,2028.05,187276.0,74777.696,6666.72,0.0,473.793,157.931,315.862,0.000071,6666.72,0.0,6666.72,0,0,3555.584,6666.72,365739.345359,0,3,13,0,6,6,0,0.000,8.57,10.230,1.88,1.00,0.00,0
25,2024.59,148354.0,73740.35,7343.25,0.0,478.428,159.476,318.952,0.000071,7343.25,0.0,7343.25,7,7,3916.4,7343.25,396151.781799,0,1,12,0,6,2,4,116.667,8.60,6.506,17.07,10.00,6.00,0
26,2023.18,155782.0,73669.28,7389.6,0.0,486.3165,162.1055,324.211,0.000071,7389.6,0.0,7389.6,1,1,3941.12,7389.6,399635.124503,0,2,12,0,6,4,2,16.667,8.73,5.225,6.95,4.00,2.00,0
27,2020.80,124490.0,72856.644,7919.58,0.0,489.3465,163.1155,326.231,0.000071,7919.58,0.0,7919.58,5,5,4223.776,7919.58,419068.455301,0,1,12,0,6,2,4,83.333,8.86,3.603,11.78,7.00,4.00,0
28,2022.83,152112.0,72810.184,7949.88,0.0,511.578,170.526,341.052,0.000071,7949.88,0.0,7949.88,1,1,4239.936,7949.88,423441.195795,0,2,12,0,6,4,2,16.667,8.69,2.817,10.09,6.00,4.00,0
29,2019.61,149499.0,72422.841,8202.495,0.0,522.249,174.083,348.166,0.000071,8202.495,0.0,8202.495,3,3,4374.664,8202.495,434519.211749,0,2,12,0,6,4,2,50.000,8.80,2.184,15.96,9.00,6.00,0
30,2017.82,113472.0,71375.582,8885.49,0.0,529.3785,176.4595,352.919,0.000071,8885.49,0.0,8885.49,5,5,4738.928,8885.49,453428.404185,0,2,14,0,6,4,2,83.333,8.92,1.194,8.83,5.00,3.00,0
31,2014.32,134781.0,70738.091,9301.245,0.0,566.148,188.716,377.432,0.000071,9301.245,0.0,9301.245,7,7,4960.664,9301.245,481441.355323,0,2,14,0,6,4,2,116.667,8.94,0.768,17.38,10.00,6.00,0
32,2015.36,137876.0,70174.292,9668.94,0.0,586.854,195.618,391.236,0.000071,9668.94,0.0,9668.94,2,2,5156.768,9668.94,489141.867382,0,3,13,0,6,6,0,33.333,9.29,1.104,5.17,3.00,2.00,0
33,2018.80,184827.0,69747.481,9947.295,0.0,635.985,211.995,423.99,0.000071,9947.295,0.0,9947.295,5,5,5305.224,9947.295,510473.848471,0,2,14,0,6,4,2,83.333,9.17,1.319,17.09,10.00,6.00,0
34,2017.57,175761.0,68994.139,10438.605,0.0,653.751,217.917,435.834,0.000071,10438.605,0.0,10438.605,2,2,5567.256,10438.605,518744.8875,0,2,14,0,6,4,2,33.333,9.34,0.920,6.09,3.00,2.00,0
35,2015.25,174581.0,68404.235,10823.325,0.0,672.102,224.034,448.068,0.000074,10823.325,0.0,10823.325,5,5,5772.44,10823.325,539781.451957,0,3,14,0,6,6,0,83.333,9.26,0.682,11.52,6.00,4.00,0
36,2011.23,156100.0,67100.894,11673.33,0.0,700.7415,233.5805,467.161,0.000074,11673.33,0.0,11673.33,8,8,6225.776,11673.33,572306.537257,0,2,15,0,6,4,2,133.333,9.10,0.270,19.93,11.00,7.00,0
37,2012.69,142621.0,66661.755,11959.725,0.0,704.952,234.984,469.968,0.000074,11959.725,0.0,11959.725,2,2,6378.52,11959.725,580244.085837,0,2,14,0,6,4,2,33.333,9.09,0.338,7.25,4.00,2.00,0
38,2015.18,139814.0,66597.194,12001.83,0.0,704.952,234.984,469.968,0.000074,12001.83,0.0,12001.83,2,2,6400.976,12001.83,588876.130019,0,0,14,0,6,0,6,33.333,9.09,0.347,12.37,7.00,4.00,0
39,2011.54,142251.0,66532.633,12043.935,0.0,708.885,236.295,472.59,0.000074,12043.935,0.0,12043.935,2,2,6423.432,12043.935,595967.672906,0,2,14,0,6,4,2,33.333,9.31,0.337,18.07,10.00,7.00,0
40,2012.32,164151.0,66472.327,12083.265,0.0,727.2765,242.4255,484.851,0.000074,12083.265,0.0,12083.265,2,2,6444.408,12083.265,604465.780585,0,2,14,0,6,4,2,33.333,9.30,0.414,3.89,2.00,1.00,0
41,2013.95,183790.0,66190.324,12267.18,0.0,751.2015,250.4005,500.801,0.000074,12267.18,0.0,12267.18,2,2,6542.496,12267.18,613146.588081,0,2,15,0,6,4,2,33.333,9.29,0.535,8.10,4.00,3.00,0
42,2017.47,163512.0,65542.092,12689.94,0.0,757.131,252.377,504.754,0.000074,12689.94,0.0,12689.94,5,5,6767.968,12689.94,631519.883359,0,2,16,0,6,4,2,83.333,9.36,0.712,17.48,10.00,6.00,0
43,2013.73,149389.0,65084.323,12988.485,0.0,761.466,253.822,507.644,0.000074,12988.485,0.0,12988.485,4,4,6927.192,12988.485,645536.782929,0,1,14,0,6,2,4,66.667,9.30,0.518,18.52,11.00,7.00,0
44,2014.25,161341.0,65017.853,13031.835,0.0,772.5975,257.5325,515.065,0.000074,13031.835,0.0,13031.835,1,1,6950.312,13031.835,647761.957809,0,2,14,0,6,4,2,16.667,9.29,0.567,2.58,1.00,1.00,0
45,2017.49,180653.0,64756.251,13202.445,0.0,795.612,265.204,530.408,0.000074,13202.445,0.0,13202.445,4,4,7041.304,13202.445,663444.72316,0,2,15,0,6,4,2,66.667,9.32,0.690,16.08,9.00,6.00,0
46,2018.20,186884.0,64130.95,13610.25,0.0,820.6755,273.5585,547.117,0.000074,13610.25,0.0,13610.25,4,4,7258.8,13610.25,677810.341205,0,2,16,0,6,4,2,66.667,9.19,0.938,3.50,2.00,1.00,0
47,2020.96,144811.0,62829.679,14458.905,0.0,831.5535,277.1845,554.369,0.000076,14458.905,0.0,14458.905,6,6,7711.416,14458.905,700396.317947,0,3,14,0,6,6,0,100.000,9.15,2.075,13.68,8.00,5.00,0
48,2020.65,161691.0,62662.883,14567.685,0.0,849.6525,283.2175,566.435,0.000076,14567.685,0.0,14567.685,3,3,7769.432,14567.685,711100.689953,0,2,15,0,6,4,2,50.000,9.06,1.733,1.54,0.00,0.00,0
49,2018.72,149625.0,62385.365,14748.675,0.0,849.6525,283.2175,566.435,0.000076,14748.675,0.0,14748.675,2,2,7865.96,14748.675,717779.696809,0,0,14,0,6,0,6,33.333,9.06,1.529,9.56,5.00,3.00,0
50,2016.81,125457.0,61648.169,15229.455,0.0,855.5655,285.1885,570.377,0.000076,15229.455,0.0,15229.455,4,4,8122.376,15229.455,728515.781056,0,1,13,0,6,2,4,66.667,9.03,0.988,9.46,5.00,3.00,0
51,2016.95,136861.0,61557.503,15288.585,0.0,867.075,289.025,578.05,0.000076,15288.585,0.0,15288.585,1,1,8153.912,15288.585,732818.140022,0,3,13,0,6,6,0,16.667,9.27,1.048,0.70,0.00,0.00,0
52,2018.71,136562.0,61381.024,15403.68,0.0,872.6055,290.8685,581.737,0.000076,15403.68,0.0,15403.68,3,3,8215.296,15403.68,741258.241283,0,2,13,0,6,4,2,50.000,9.33,1.173,8.75,5.00,3.00,0
53,2017.14,139053.0,61296.223,15458.985,0.0,877.239,292.413,584.826,0.000076,15458.985,0.0,15458.985,2,2,8244.792,15458.985,749624.019763,0,1,13,0,6,2,4,33.333,9.46,1.109,7.78,4.00,3.00,0
54,2013.87,116928.0,60787.348,15790.86,0.0,877.239,292.413,584.826,0.000076,15790.86,0.0,15790.86,7,7,8421.792,15790.86,777044.171635,0,0,12,0,6,0,6,116.667,9.46,0.773,16.21,9.00,6.00,0
55,2016.74,122450.0,60787.348,15790.86,0.0,881.3805,293.7935,587.587,0.000076,15790.86,0.0,15790.86,0,0,8421.792,15790.86,777044.171635,0,1,13,0,6,2,4,0.000,9.44,0.782,14.23,8.00,5.00,0
56,2016.21,158973.0,60723.845,15832.275,0.0,910.8435,303.6145,607.229,0.000076,15832.275,0.0,15832.275,1,1,8443.88,15832.275,780420.863866,0,3,15,0,6,6,0,16.667,9.30,0.799,2.60,1.00,1.00,0
57,2019.38,147692.0,60052.728,16269.96,0.0,924.267,308.089,616.178,0.000076,16269.96,0.0,16269.96,7,7,8677.312,16269.96,802483.012084,0,3,14,0,6,6,0,116.667,9.36,1.168,15.71,9.00,6.00,0
58,2016.52,138743.0,59846.901,16404.195,0.0,924.267,308.089,616.178,0.000076,16404.195,0.0,16404.195,3,3,8748.904,16404.195,812677.478118,0,0,14,0,6,0,6,50.000,9.36,1.037,14.16,8.00,5.00,0
59,2012.59,116211.0,59328.665,16742.175,0.0,924.267,308.089,616.178,0.000077,16742.175,0.0,16742.175,4,4,8929.16,16742.175,826782.042674,0,0,12,0,6,0,6,66.667,9.36,0.706,19.49,11.00,7.00,0
60,2010.06,88535.0,58547.217,17251.815,0.0,928.992,309.664,619.328,0.000077,17251.815,0.0,17251.815,6,6,9200.968,17251.815,845911.119934,0,1,11,0,6,2,4,100.000,9.32,0.242,12.59,7.00,5.00,0
61,2012.13,106577.0,58474.767,17299.065,0.0,944.886,314.962,629.924,0.000077,17299.065,0.0,17299.065,1,1,9226.168,17299.065,847695.040505,0,1,11,0,6,2,4,16.667,9.26,0.354,10.29,6.00,4.00,0
62,2011.54,123043.0,58231.059,17458.005,0.0,965.1825,321.7275,643.455,0.000077,17458.005,0.0,17458.005,1,1,9310.936,17458.005,849626.289837,0,2,12,0,6,4,2,16.667,9.41,0.334,2.94,1.00,1.00,0
63,2013.40,124764.0,57676.138,17819.91,0.0,984.5685,328.1895,656.379,0.000077,17819.91,0.0,17819.91,3,3,9503.952,17819.91,858148.894628,0,3,11,0,6,6,0,50.000,9.46,0.540,9.25,5.00,3.00,0
64,2012.83,122298.0,57378.886,18013.77,0.0,992.412,330.804,661.608,0.000077,18013.77,0.0,18013.77,3,3,9607.344,18013.77,868286.883352,0,2,12,0,6,4,2,50.000,9.52,0.418,2.81,1.00,1.00,0
65,2009.45,143874.0,56874.956,18342.42,0.0,1025.0265,341.6755,683.351,0.000077,18342.42,0.0,18342.42,5,5,9782.624,18342.42,885937.408988,0,3,13,0,6,6,0,83.333,9.38,0.332,16.80,10.00,6.00,0
66,2008.36,140425.0,56247.539,18751.605,0.0,1042.899,347.633,695.266,0.000077,18751.605,0.0,18751.605,5,5,10000.856,18751.605,902178.961752,0,2,14,0,6,4,2,83.333,9.31,0.171,5.42,3.00,2.00,0
67,2012.19,111869.0,55473.405,19256.475,0.0,1046.7255,348.9085,697.817,0.000077,19256.475,0.0,19256.475,5,5,10270.12,19256.475,912922.597055,0,1,11,0,6,2,4,83.333,9.38,0.260,19.09,11.00,7.00,0
68,2016.01,106431.0,54997.213,19567.035,0.0,1058.175,352.725,705.45,0.000077,19567.035,0.0,19567.035,6,6,10435.752,19567.035,934469.906047,0,3,13,0,6,6,0,100.000,9.43,0.405,18.98,11.00,7.00,0
