step,price,openInterest,tvl,marginVaultDelta,insuranceBalance,insuranceBalanceDelta,protocolTreasuryBalance,protocolTreasuryDelta,badDebt,badDebtDelta,protocolRevenue,protocolRevenueDelta,sumAccountCollateral,accountCollateralDelta,sumReservedMargin,reservedMarginDelta,sumAvailableCollateral,availableCollateralDelta,sumTraderFundingOwed,traderFundingOwedDelta,solvencyBuffer,makerFeesCollected,takerFeesCollected,fundingFeesTransferred,insuranceFundInflow,insuranceFundOutflow,liquidationInsuranceInflow,liquidations,liquidatorOrders,liquidatorRewardsPaid,liquidationPenaltyCollected,marginReturnedFromLiquidation,positionsAtRisk,trades,uniqueTraders,openOrders,newOrders,filledOrders,cancelledOrders,liquidationsPer100Orders,avgLeverage,longShortRatio,spreadBps,slippageBps,priceImpactBps,isInsolvent
0,2003.84,15034.0,85000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2755,0.0,84988.7245,0.0,1503.4,0.0,83485.3245,0.0,0.0,0.0,0.0,3.7585,7.517,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,3,5,0,6,6,0,0.000,11.83,1.000,19.19,11.00,7.00,0
1,2002.29,20579.0,84944.815,-55.185,25.753,25.753,0.0,0.0,0.0,0.0,23.9505,12.675,84915.053928,-73.670572,2057.9,554.5,82862.9645,-622.36,0.0,0.0,5.810572,7.9835,15.967,0.0,25.753,0.0,25.753,2,2,29.432,55.185,9929.568428,0,2,6,0,6,4,2,33.333,10.71,0.697,7.73,4.00,3.00,0
2,2002.16,15167.0,84837.145,-107.67,75.999,50.246,0.0,0.0,0.0,0.0,29.091,5.1405,84802.51831,-112.535618,1516.7,-541.2,83291.586432,428.621932,0.0,0.0,5.53569,9.697,19.394,0.0,75.999,0.0,75.999,2,2,86.856,162.855,19812.278573,0,3,7,0,6,6,0,33.333,10.57,0.166,0.63,0.00,0.00,0
3,2004.71,94301.0,84641.965,-195.18,167.083,91.084,0.0,0.0,0.0,0.0,99.234,70.143,84527.299148,-275.219162,9430.1,7913.4,75099.063515,-8192.522917,0.0,0.0,15.431852,33.078,66.156,0.0,167.083,0.0,167.083,5,5,190.952,358.035,44598.720921,0,3,7,0,6,6,0,83.333,11.92,1.047,12.72,7.00,5.00,0
4,2004.78,51182.0,83922.55,-719.415,502.81,335.727,0.0,0.0,0.0,0.0,102.8655,3.6315,83802.515077,-724.784071,5118.2,-4311.9,78687.998357,3588.934842,0.0,0.0,17.169423,34.2885,68.577,0.0,502.81,0.0,502.81,3,3,574.64,1077.45,58839.607849,0,3,7,0,6,6,0,50.000,11.88,95.026,0.38,0.00,0.00,0
5,2003.56,15794.0,83126.56,-795.99,874.272,371.462,0.0,0.0,0.0,0.0,116.124,13.2585,82965.021685,-837.493392,1579.4,-3538.8,81386.970451,2698.972094,0.0,0.0,45.414315,38.708,77.416,0.0,874.272,0.0,874.272,5,5,999.168,1873.44,82837.904269,0,2,4,0,6,4,2,83.333,12.94,0.685,6.10,3.00,2.00,0
6,2000.15,75654.0,83030.23,-96.33,919.226,44.954,0.0,0.0,0.0,0.0,166.635,50.511,82809.486586,-155.535099,7565.4,5986.0,75259.156813,-6127.813638,0.0,0.0,54.108414,55.545,111.09,0.0,919.226,0.0,919.226,1,1,1050.544,1969.77,87725.224786,0,3,8,0,6,6,0,16.667,11.48,0.780,17.05,10.00,6.00,0
7,2002.28,41980.0,82525.12,-505.11,1154.944,235.718,0.0,0.0,0.0,0.0,169.713,3.078,82267.602631,-541.883955,4198.0,-3367.4,78108.398201,2849.241388,0.0,0.0,87.804369,56.571,113.142,0.0,1154.944,0.0,1154.944,3,3,1319.936,2474.88,102037.564761,0,2,7,0,6,4,2,50.000,11.34,3.749,10.66,6.00,4.00,0
8,2006.26,35573.0,82386.025,-139.095,1219.855,64.911,0.0,0.0,0.0,0.0,171.8625,2.1495,82114.471895,-153.130736,3557.3,-640.7,78656.227028,547.828827,0.0,0.0,99.690605,57.2875,114.575,0.0,1219.855,0.0,1219.855,2,2,1394.12,2613.975,111799.995133,0,2,8,0,6,4,2,33.333,11.34,34.609,19.87,11.00,7.00,0
9,2008.86,36660.0,82371.04,-14.985,1226.848,6.993,0.0,0.0,0.0,0.0,205.005,33.1425,82156.812768,42.340873,3666.0,108.7,78543.178826,-113.048202,0.0,0.0,9.222232,68.335,136.67,0.0,1226.848,0.0,1226.848,1,1,1402.112,2628.96,116736.877901,0,2,10,0,6,4,2,16.667,11.22,34.149,13.00,7.00,5.00,0
10,2008.54,14731.0,82039.615,-331.425,1381.513,154.665,0.0,0.0,0.0,0.0,215.382,10.377,81832.819183,-323.993585,1473.1,-2192.9,80388.724408,1845.545582,0.0,0.0,-8.586183,71.794,143.588,0.0,1381.513,0.0,1381.513,2,2,1578.872,2960.385,125533.613665,0,3,10,0,6,6,0,33.333,11.38,12.083,1.60,0.00,0.00,0
