step,liquidatorOrders,liquidations,liquidatorRewardsPaid,liquidationPenaltyCollected,marginReturnedFromLiquidation,insuranceFundOutflow
0,0,0,0.0,0.0,0.0,0.0
1,2,2,29.432,55.185,9929.568428,0.0
2,2,2,86.856,162.855,19812.278573,0.0
3,5,5,190.952,358.035,44598.720921,0.0
4,3,3,574.64,1077.45,58839.607849,0.0
5,5,5,999.168,1873.44,82837.904269,0.0
6,1,1,1050.544,1969.77,87725.224786,0.0
7,3,3,1319.936,2474.88,102037.564761,0.0
8,2,2,1394.12,2613.975,111799.995133,0.0
9,1,1,1402.112,2628.96,116736.877901,0.0
10,2,2,1578.872,2960.385,125533.613665,0.0
11,2,2,1610.592,3019.86,135325.067499,0.0
12,0,0,1610.592,3019.86,135325.067499,0.0
13,3,3,1974.488,3702.165,149396.275378,0.0
14,2,2,2147.76,4027.05,158887.622979,0.0
15,2,2,2348.88,4404.15,168108.689531,0.0
16,0,0,2348.88,4404.15,168108.689531,0.0
17,3,3,2724.064,5107.62,182066.681929,0.0
18,4,4,2911.384,5458.845,200179.797032,0.0
19,2,2,3149.4,5905.125,208621.441984,0.0
20,1,1,3271.64,6134.325,213018.946708,0.0
21,2,2,3337.544,6257.895,222134.798311,0.0
22,2,2,3414.048,6401.34,230367.134709,0.0
23,2,2,3457.856,6483.48,239249.471844,0.0
24,2,2,3664.624,6871.17,247817.21119,0.0
25,1,1,3716.584,6968.595,252551.40457,0.0
26,3,3,4349.552,8155.41,264752.052447,0.0
27,1,1,4672.672,8761.26,268704.895442,0.0
28,2,2,4804.976,9009.33,277109.106341,0.0
29,3,3,4955.808,9292.14,289648.633899,0.0
30,3,3,5144.88,9646.65,302681.751432,0.0
31,1,1,5396.056,10117.605,307166.512216,0.0
32,1,1,5557.608,10420.515,310675.494948,0.0
33,5,5,5828.928,10929.24,332167.54141,0.0
34,0,0,5828.928,10929.24,332167.54141,0.0
35,4,4,6074.336,11389.38,349176.032217,0.0
36,2,2,6089.152,11417.16,357880.85847,0.0
37,0,0,6089.152,11417.16,357880.85847,0.0
38,3,3,6180.64,11588.7,370364.912507,0.0
39,3,3,6505.52,12197.85,383325.027047,0.0
40,2,2,7021.6,13165.5,389821.694772,0.0
41,1,1,7034.928,13190.49,394613.201324,0.0
42,2,2,7230.664,13557.495,402400.335496,0.0
43,0,0,7230.664,13557.495,402400.335496,0.0
44,0,0,7230.664,13557.495,402400.335496,0.0
45,2,2,7337.84,13758.45,411471.464606,0.0
46,0,0,7337.84,13758.45,411471.464606,0.0
47,1,1,7370.632,13819.935,415856.993166,0.0
48,3,3,7418.432,13909.56,428035.752455,0.0
49,0,0,7418.432,13909.56,428035.752455,0.0
50,1,1,7466.92,14000.475,431709.848832,0.0
51,2,2,7571.432,14196.435,439252.572378,0.0
52,2,2,7602.344,14254.395,448379.900727,0.0
53,1,1,7672.088,14385.165,451682.987546,0.0
54,3,3,8077.352,15145.035,462476.189266,0.0
55,1,1,8080.088,15150.165,466827.566746,0.0
56,1,1,8110.232,15206.685,471151.828428,0.0
57,3,3,8314.736,15590.13,483072.858761,0.0
58,0,0,8314.736,15590.13,483072.858761,0.0
59,2,2,8652.336,16223.13,490922.062267,0.0
60,1,1,8815.352,16528.785,494414.307365,0.0
61,1,1,8994.8,16865.25,497717.644025,0.0
62,1,1,9019.944,16912.395,502356.210543,0.0
63,3,3,9102.376,17066.955,513110.239813,0.0
64,0,0,9102.376,17066.955,513110.239813,0.0
65,5,5,9512.6,17836.125,531823.053907,0.0
66,1,1,9643.376,18081.33,535629.051542,0.0
67,2,2,9784.72,18346.35,543112.163492,0.0
68,2,2,10053.144,18849.645,549749.013349,0.0
69,2,2,10101.592,18940.485,558765.144713,0.0
70,1,1,10138.616,19009.905,562868.490797,0.0
71,4,4,10261.824,19240.92,579018.452615,0.0
72,1,1,10372.0,19447.5,581808.021472,0.0
73,3,3,10559.464,19798.995,591465.758433,0.0
74,2,2,10646.8,19962.75,599269.826914,0.0
75,4,4,10798.984,20248.095,613602.494731,0.0
76,1,1,10986.72,20600.1,617014.016853,0.0
77,3,3,11148.856,20904.105,627329.454834,0.0
78,1,1,11179.736,20962.005,631857.104728,0.0
79,1,1,11367.752,21314.535,634305.535197,0.0
80,2,2,11507.016,21575.655,641952.011315,0.0
81,3,3,11566.504,21687.195,652931.793304,0.0
82,2,2,11599.384,21748.845,661318.892601,0.0
83,1,1,11627.592,21801.735,664680.369396,0.0
84,3,3,11663.528,21869.115,677618.574082,0.0
85,0,0,11663.528,21869.115,677618.574082,0.0
86,1,1,12082.4,22654.5,681725.930673,0.0
87,2,2,12154.168,22789.065,687484.278139,0.0
88,1,1,12290.08,23043.9,690574.41156,0.0
89,3,3,12590.784,23607.72,700909.869916,0.0
90,2,2,12667.768,23752.065,709352.683455,0.0
91,0,0,12667.768,23752.065,709352.683455,0.0
92,3,3,13160.184,24675.345,719663.148811,0.0
93,1,1,13273.24,24887.325,723541.278428,0.0
94,0,0,13273.24,24887.325,723541.278428,0.0
95,1,1,13279.032,24898.185,727891.955904,0.0
96,1,1,13299.08,24935.775,731805.318153,0.0
97,0,0,13299.08,24935.775,731805.318153,0.0
98,2,2,13395.584,25116.72,738082.44721,0.0
99,0,0,13395.584,25116.72,738082.44721,0.0
