step,price,openInterest,tvl,insuranceBalance,badDebt,protocolRevenue,makerFeesCollected,takerFeesCollected,fundingFeesTransferred,insuranceFundInflow,insuranceFundOutflow,liquidations,liquidatorOrders,liquidatorRewardsPaid,liquidationPenaltyCollected,marginReturnedFromLiquidation,positionsAtRisk,trades,uniqueTraders,openOrders,newOrders,filledOrders,cancelledOrders,liquidationsPer100Orders,avgLeverage,longShortRatio,spreadBps,slippageBps,priceImpactBps,isInsolvent
0,2000.00,0.0,90000.0,24827.7335,0.0,26.3095,3.7585,7.517,0.0,24827.7335,0.0,6,6,7.517,15.034,0.0,0,3,0,0,6,6,0,100.000,11.83,0.000,0.00,0.00,0.00,0
1,2000.00,0.0,90000.0,34817.4435,0.0,27.7795,3.9685,7.937,0.0,34817.4435,0.0,2,2,7.937,15.874,0.0,0,1,0,0,6,2,4,33.333,12.12,0.000,0.00,0.00,0.00,0
2,2000.00,0.0,90000.0,44781.5265,0.0,32.9105,4.7015,9.403,0.0,44781.5265,0.0,2,2,9.403,18.806,0.0,0,1,0,0,6,2,4,33.333,10.50,0.000,0.00,0.00,0.00,0
3,2000.00,0.0,90000.0,54185.8335,0.0,118.0095,16.8585,33.717,0.0,54185.8335,0.0,2,2,33.717,67.434,0.0,0,1,0,0,6,2,4,33.333,9.88,0.000,0.00,0.00,0.00,0
4,2000.00,0.0,90000.0,62972.6425,0.0,291.3225,41.6175,83.235,0.0,62972.6425,0.0,2,2,83.235,166.47,0.0,0,1,0,0,6,2,4,33.333,8.76,0.000,0.00,0.00,0.00,0
5,2000.00,0.0,90000.0,62972.6425,0.0,291.3225,41.6175,83.235,0.0,62972.6425,0.0,0,0,83.235,166.47,0.0,0,0,0,0,6,0,6,0.000,8.76,0.000,0.00,0.00,0.00,0
6,2000.00,0.0,90000.0,68365.4615,0.0,305.9455,43.7065,87.413,0.0,68365.4615,0.0,2,2,87.413,174.826,0.0,0,1,0,0,6,2,4,33.333,8.11,0.000,0.00,0.00,0.00,0
7,2000.00,0.0,90000.0,68365.4615,0.0,305.9455,43.7065,87.413,0.0,68365.4615,0.0,0,0,87.413,174.826,0.0,0,0,0,0,6,0,6,0.000,8.11,0.000,0.00,0.00,0.00,0
8,2000.00,0.0,90000.0,73402.4715,0.0,306.5755,43.7965,87.593,0.0,73402.4715,0.0,2,2,87.593,175.186,0.0,0,1,0,0,6,2,4,33.333,9.28,0.000,0.00,0.00,0.00,0
9,2000.00,0.0,90000.0,73402.4715,0.0,306.5755,43.7965,87.593,0.0,73402.4715,0.0,0,0,87.593,175.186,0.0,0,0,0,0,6,0,6,0.000,9.28,0.000,0.00,0.00,0.00,0
